"NUTS 3 CODE","LAU CODE","LAU NAME NATIONAL","LAU NAME LATIN","POPULATION","TOTAL AREA (km2)","COASTAL AREA (yes/no)","CITY_ID","CITY_NAME","FUA_ID"
"DEF01","01001000","Flensburg, Stadt","Flensburg, Stadt",89504,56.73,"yes","DE052C1","Flensburg","DE052L1"
"DEF02","01002000","Kiel, Landeshauptstadt","Kiel, Landeshauptstadt",247548,118.65,"yes","DE039C1","Kiel","DE039L1"
"DEF03","01003000","Lübeck, Hansestadt","Lübeck, Hansestadt",217198,214.19,"yes","DE510C1","Lübeck","DE510L1"
"DEF04","01004000","Neumünster, Stadt","Neumünster, Stadt",79487,71.66,"no","DE055C1","Neumünster","DE055L0"
"DEF05","01051001","Albersdorf","Albersdorf",3670,17.12,"no",,,
"DEF05","01051002","Arkebek","Arkebek",226,6.92,"no",,,
"DEF05","01051003","Averlak","Averlak",557,9.06,"no",,,
"DEF05","01051004","Bargenstedt","Bargenstedt",964,11.90,"no",,,
"DEF05","01051005","Barkenholm","Barkenholm",166,5.11,"no",,,
"DEF05","01051006","Barlt","Barlt",763,22.88,"yes",,,
"DEF05","01051008","Bergewöhrden","Bergewöhrden",37,2.64,"no",,,
"DEF05","01051010","Brickeln","Brickeln",217,6.07,"no",,,
"DEF05","01051011","Brunsbüttel, Stadt","Brunsbüttel, Stadt",12554,65.21,"no",,,
"DEF05","01051012","Buchholz","Buchholz",996,14.56,"no",,,
"DEF05","01051013","Büsum","Büsum",4928,8.48,"yes",,,
"DEF05","01051014","Büsumer Deichhausen","Büsumer Deichhausen",364,2.87,"yes",,,
"DEF05","01051015","Bunsoh","Bunsoh",793,11.75,"no",,,
"DEF05","01051016","Burg (Dithmarschen)","Burg (Dithmarschen)",4142,11.25,"no",,,
"DEF05","01051017","Busenwurth","Busenwurth",312,10.09,"yes",,,
"DEF05","01051019","Dellstedt","Dellstedt",745,21.77,"no",,,
"DEF05","01051020","Delve","Delve",700,15.84,"no",,,
"DEF05","01051021","Diekhusen-Fahrstedt","Diekhusen-Fahrstedt",704,7.46,"no",,,
"DEF05","01051022","Dingen","Dingen",628,7.01,"no",,,
"DEF05","01051023","Dörpling","Dörpling",624,7.82,"no",,,
"DEF05","01051024","Eddelak","Eddelak",1335,9.21,"no",,,
"DEF05","01051026","Eggstedt","Eggstedt",763,12.79,"no",,,
"DEF05","01051027","Elpersbüttel","Elpersbüttel",867,30.17,"yes",,,
"DEF05","01051028","Epenwöhrden","Epenwöhrden",776,13.52,"yes",,,
"DEF05","01051030","Fedderingen","Fedderingen",279,9.69,"no",,,
"DEF05","01051032","Frestedt","Frestedt",349,10.33,"no",,,
"DEF05","01051033","Friedrichsgabekoog","Friedrichsgabekoog",53,8.62,"yes",,,
"DEF05","01051034","Friedrichskoog","Friedrichskoog",2574,53.27,"yes",,,
"DEF05","01051035","Gaushorn","Gaushorn",167,6.45,"no",,,
"DEF05","01051036","Glüsing","Glüsing",112,4.69,"no",,,
"DEF05","01051037","Großenrade","Großenrade",462,10.40,"no",,,
"DEF05","01051038","Groven","Groven",72,7.90,"no",,,
"DEF05","01051039","Gudendorf","Gudendorf",391,6.04,"yes",,,
"DEF05","01051043","Hedwigenkoog","Hedwigenkoog",215,16.36,"yes",,,
"DEF05","01051044","Heide, Stadt","Heide, Stadt",21684,31.97,"no",,,
"DEF05","01051045","Hellschen-Heringsand-Unterschaar","Hellschen-Heringsand-Unterschaar",168,7.02,"yes",,,
"DEF05","01051046","Helse","Helse",829,11.44,"yes",,,
"DEF05","01051047","Hemme","Hemme",512,16.53,"no",,,
"DEF05","01051048","Hemmingstedt","Hemmingstedt",2873,16.01,"no",,,
"DEF05","01051049","Hennstedt","Hennstedt",1931,21.93,"no",,,
"DEF05","01051050","Hillgroven","Hillgroven",60,3.60,"yes",,,
"DEF05","01051051","Hochdonn","Hochdonn",1079,5.46,"no",,,
